Score,Decision,TrueLabel
9.434499777853488922e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.314515627920627594e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.670343250036239624e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.641474112868309021e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.391108527779579163e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.309645742177963257e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.153189137578010559e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.142553433775901794e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.353749454021453857e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.449650533497333527e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.566834196448326111e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.504449553787708282e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.737899526953697205e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.011492311954498291e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.060541160404682159e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.034938544034957886e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.031661219894886017e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.030265074223279953e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.029227022081613541e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.034756377339363098e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.014773081988096237e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.667977690696716309e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.614860638976097107e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.019357331097126007e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.043011154979467392e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.005132682621479034e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.504187852144241333e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.611382149159908295e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.006328593939542770e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.044174656271934509e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.040524430572986603e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.667070582509040833e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.446278214454650879e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.224055334925651550e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.116308763623237610e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.403891861438751221e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.008976716548204422e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.081401295959949493e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.041774265468120575e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.016704738140106201e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.003655418753623962e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.937767870724201202e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.877173230051994324e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.014711149036884308e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.008467655628919601e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.016855426132678986e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.016763411462306976e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.043661963194608688e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.071978546679019928e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.084562018513679504e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.114016305655241013e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.120600569993257523e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.088608521968126297e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.032571494579315186e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.019415259361267090e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.004388462752103806e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.794398210942745209e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.332471527159214020e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.663892909884452820e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.649793617427349091e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.298555552959442139e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.245342575013637543e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.459603577852249146e-03,0.000000000000000000e+00,0.000000000000000000e+00
