Score,Decision,TrueLabel
1.556419674307107925e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.378512196242809296e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.283303368836641312e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.214112527668476105e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.201983541250228882e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.281231176108121872e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.327601727098226547e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.313834358006715775e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.278438046574592590e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.289993617683649063e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.321845222264528275e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.331890653818845749e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.278135646134614944e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.210038643330335617e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.176061388105154037e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.149116363376379013e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.096722856163978577e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.100570801645517349e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.187602337449789047e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.269320119172334671e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.285223476588726044e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.313801947981119156e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.261542085558176041e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.186273526400327682e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.184777915477752686e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.213443372398614883e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.263880264014005661e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.299383025616407394e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.261717546731233597e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.209812331944704056e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.165268477052450180e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.167023181915283203e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.169957686215639114e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.230762433260679245e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.264603808522224426e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.225221808999776840e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.179928053170442581e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.187954843044281006e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.176662463694810867e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.151013094931840897e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.130172703415155411e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.197111327201128006e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.256637461483478546e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.242660731077194214e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.211716700345277786e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.245299167931079865e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.279172021895647049e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.225591264665126801e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.187403313815593719e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.196348387748003006e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.190039888024330139e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.198603119701147079e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.243348605930805206e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.286502461880445480e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.305613759905099869e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.301502715796232224e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.286662556231021881e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.302225049585103989e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.315880287438631058e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.273952797055244446e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.263817027211189270e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.272474974393844604e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.232785917818546295e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.164545770734548569e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.117687392979860306e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.130305044353008270e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.147813815623521805e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.211047172546386719e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.237073168158531189e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.230972260236740112e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.215956825762987137e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.123801711946725845e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.080735214054584503e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.145965792238712311e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.201113685965538025e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.184382662177085876e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.258036494255065918e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.303345058113336563e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.277655363082885742e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.225541997700929642e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.196227036416530609e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.201863493770360947e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.226948015391826630e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.235767081379890442e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.270361430943012238e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.330447662621736526e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.349497307091951370e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.349381636828184128e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.364024356007575989e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.344729866832494736e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.326223835349082947e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.295331958681344986e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.224738825112581253e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.214158535003662109e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.275008451193571091e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.290418859571218491e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.280182320624589920e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.260573323816061020e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.272205915302038193e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.247433666139841080e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.231869682669639587e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.212644390761852264e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.163752749562263489e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.117513235658407211e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.110490318387746811e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.108745578676462173e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.118377875536680222e-02,1.000000000000000000e+00,0.000000000000000000e+00
