Score,Decision,TrueLabel
4.573256708681583405e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.335732199251651764e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.644860979169607162e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.790085833519697189e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.548735450953245163e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.394838586449623108e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.592309240251779556e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.058987997472286224e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.102871149778366089e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.217148784548044205e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.815709337592124939e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.866638712584972382e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.889586500823497772e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.843921892344951630e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.720024324953556061e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.776161190122365952e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.556422613561153412e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.811347022652626038e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.213162422180175781e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.879688568413257599e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.027205407619476318e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.372278884053230286e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.478273473680019379e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.359351798892021179e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.921894684433937073e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.207244470715522766e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.870053708553314209e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.133065257221460342e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.480526644736528397e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.777088925242424011e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.535422358661890030e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.963664036244153976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.935236509889364243e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.823455147445201874e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.970935665071010590e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.413604296743869781e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.398864090442657471e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.006287410855293274e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.034212652593851089e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.012633908540010452e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.986906122416257858e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.990186240524053574e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.122220773249864578e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.081788334995508194e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.886676255613565445e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.746631417423486710e-03,0.000000000000000000e+00,0.000000000000000000e+00
