Score,Decision,TrueLabel
3.929754253476858139e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.871738212183117867e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.845711005851626396e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.896307898685336113e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.023401532322168350e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.182198084890842438e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.266077186912298203e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.060449078679084778e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.043059889227151871e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.013543482869863510e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.979202825576066971e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.036935046315193176e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.267098847776651382e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.354462958872318268e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.563051275908946991e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.596624057739973068e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.554966930299997330e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.540360067039728165e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.532332532107830048e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.321886226534843445e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.114523064345121384e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.940619062632322311e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.001294728368520737e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.905590623617172241e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.767592832446098328e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.718409687280654907e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.766276640817523003e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.714073449373245239e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.641553223133087158e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.593194065615534782e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.549818415194749832e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.662597388029098511e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.853199770674109459e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.860029857605695724e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.093430005013942719e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.606538917869329453e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.188639275729656219e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.208983086049556732e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.093443207442760468e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.007937550544738770e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.558501765131950378e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.077496938407421112e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.050138872116804123e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.141730722039937973e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.364784806966781616e-03,0.000000000000000000e+00,0.000000000000000000e+00
