Anomaly Score,Ground Truth,Decision
1886.3373,0,1
1883.1465,0,1
1879.89,0,1
1874.5348,0,1
1867.8834,0,1
1868.513,0,1
1870.2064,0,1
1870.4844,0,1
1865.0422,0,1
1856.9557,0,1
1845.0732,0,1
1847.0137,0,1
1845.8557,0,1
1844.9036,0,1
1833.6669,0,1
1823.9648,0,1
1807.2344,0,1
1792.1102,0,1
1798.0875,0,1
1813.8,0,1
1833.034,0,1
1846.2015,0,1
1857.0901,0,1
1858.0914,0,1
1855.8309,0,1
1849.8245,0,1
1854.2272,0,1
1861.2445,0,1
1856.0961,0,1
1861.719,0,1
1860.2621,0,1
1853.6555,0,1
1849.8993,0,1
1850.7875,0,1
1846.9774,0,1
1857.2001,0,1
1857.5645,0,1
1856.8344,0,1
1864.3821,0,1
1865.076,0,1
1865.9918,0,1
1873.65,0,1
1877.3196,0,1
1870.9813,0,1
1873.5394,0,1
1863.595,0,1
1853.734,0,1
1852.2063,0,1
1851.5023,0,1
1845.7977,0,1
1853.0358,0,1
1857.1816,0,1
1859.0399,0,1
1860.0555,0,1
1865.017,0,1
1865.5126,0,1
1864.469,0,1
1862.1084,0,1
1864.3102,0,1
1865.4553,0,1
1863.8705,0,1
1861.4672,0,1
1859.349,0,1
1860.534,0,1
1863.554,0,1
1858.969,0,1
1861.7317,0,1
1868.7919,0,1
1871.3545,0,1
1874.9954,0,1
1881.6962,0,1
1881.7135,0,1
1875.8041,0,1
1868.68,0,1
1866.443,0,1
1867.8102,0,1
1871.6721,0,1
1872.3684,0,1
1875.8508,0,1
1863.7649,0,1
1855.8473,0,1
1847.8043,0,1
1849.4707,0,1
1848.7461,0,1
1847.3649,0,1
1845.5293,0,1
1850.8802,0,1
1848.957,0,1
1844.3066,0,1
1851.3954,0,1
1857.7206,0,1
1854.6475,0,1
1857.3192,0,1
1864.5956,0,1
1864.6041,0,1
1868.0914,0,1
1873.9062,0,1
1874.9479,0,1
1875.5328,0,1
1878.4902,0,1
1873.5624,0,1
1874.7522,0,1
1874.1777,0,1
1873.7333,0,1
1876.1152,0,1
1880.1473,0,1
1879.1774,0,1
1877.6708,0,1
1867.8141,0,1
1861.9266,0,1
1854.6537,0,1
1849.9359,0,1
1845.7118,0,1
1854.4014,0,1
1858.607,0,1
1861.8336,0,1
1861.93,0,1
1865.5074,0,1
1870.666,0,1
1872.5891,0,1
1874.0403,0,1
1876.01,0,1
1877.4238,0,1
1873.7802,0,1
1868.499,0,1
1864.9062,0,1
1870.9521,0,1
1872.1324,0,1
1862.4641,0,1
1862.6415,0,1
1866.327,0,1
1860.7936,0,1
1858.692,0,1
1866.372,0,1
1867.3854,0,1
1868.1705,0,1
1869.9554,0,1
1867.4176,0,1
1872.6686,0,1
1875.7106,0,1
1875.9934,0,1
1872.5768,0,1
1881.5205,0,1
1878.4424,0,1
1878.5686,0,1
1880.3832,0,1
1879.7012,0,1
1870.7063,0,1
1864.6122,0,1
1859.4696,0,1
1858.663,0,1
1865.0013,0,1
1867.4437,0,1
1876.9335,0,1
1882.642,0,1
1883.3789,0,1
1886.3842,0,1
1887.2676,0,1
1892.0559,0,1
1891.7975,0,1
1891.747,0,1
1883.3469,0,1
1882.6797,0,1
1872.8519,0,1
1865.8329,0,1
1863.555,0,1
1866.7047,0,1
1869.6617,0,1
1866.3096,0,1
1869.4875,0,1
1871.7008,0,1
1867.7783,0,1
1863.3918,0,1
1869.0475,0,1
1869.2864,0,1
1866.8658,0,1
1871.8489,0,1
1872.3779,0,1
1861.6246,0,1
1851.684,0,1
1839.525,0,1
1823.6692,0,1
1823.6526,0,1
1833.2914,0,1
1848.552,0,1
1861.0208,0,1
1872.7867,0,1
1871.9163,0,1
1875.3547,0,1
1876.6067,0,1
1879.9082,0,1
1888.7074,0,1
1893.5453,0,1
1895.768,0,1
1894.01,0,1
1896.307,0,1
1885.759,0,1
1878.409,0,1
1872.1298,0,1
1874.2079,0,1
1875.9774,0,1
1880.5774,0,1
1887.5726,0,1
1892.3495,0,1
1888.9736,0,1
1885.8486,0,1
1896.3558,0,1
1897.8535,0,1
1899.9065,0,1
1894.4875,0,1
1893.1669,0,1
1885.2028,0,1
1888.1161,0,1
1885.6578,0,1
1892.4885,0,1
1895.4313,0,1
1895.1985,0,1
1899.986,0,1
1897.8398,0,1
1895.4143,0,1
1889.2073,0,1
1880.9873,0,1
1870.1952,0,1
1867.2216,0,1
1864.6859,0,1
1861.5693,0,1
1858.5911,0,1
1845.0707,0,1
1835.8789,0,1
1836.4149,0,1
1839.1555,0,1
1845.5184,0,1
1852.9098,0,1
1857.6868,0,1
1850.3651,0,1
1851.848,0,1
1850.9827,0,1
1859.4528,0,1
1863.7711,0,1
1874.3893,0,1
1865.4457,0,1
1866.9469,0,1
1851.3896,0,1
1850.7012,0,1
1847.0074,0,1
1851.3555,0,1
1851.5819,0,1
1860.7919,0,1
1863.1584,0,1
1860.0165,0,1
1865.3586,0,1
1863.0629,0,1
1865.3112,0,1
1867.1777,0,1
1866.2659,0,1
1861.4232,0,1
1864.4808,0,1
1863.7802,0,1
1860.2151,0,1
1870.8265,0,1
1871.5262,0,1
1868.7356,0,1
1858.8563,0,1
1853.5028,0,1
1845.2379,0,1
1842.7098,0,1
1840.8148,0,1
1848.3988,0,1
1852.4645,0,1
1853.0856,0,1
1858.7773,0,1
1858.3629,0,1
1860.5809,0,1
1862.0863,0,1
1856.3519,0,1
1844.8125,0,1
1847.4032,0,1
1850.9906,0,1
1856.3623,0,1
1862.4238,0,1
1879.1995,0,1
1885.138,0,1
1884.7148,0,1
1878.7422,0,1
1881.3896,0,1
1877.4803,0,1
1869.1049,0,1
1864.8049,0,1
1872.6903,0,1
1870.383,0,1
1868.5426,0,1
1877.0966,0,1
1886.1813,0,1
1889.5726,0,1
1886.4159,0,1
1880.4696,0,1
1882.2158,0,1
1883.3186,0,1
1871.9713,0,1
1870.5902,0,1
1875.498,0,1
1875.568,0,1
1868.7997,0,1
1873.1859,0,1
1882.2926,0,1
1882.0305,0,1
1875.2148,0,1
1874.4742,0,1
1872.9008,0,1
1864.6383,0,1
1866.0674,0,1
1862.927,0,1
1864.9648,0,1
1859.5426,0,1
1864.3776,0,1
1861.8711,0,1
1867.4287,0,1
1858.0336,0,1
1860.4397,0,1
1854.0016,0,1
1856.025,0,1
1859.5121,0,1
1862.3436,0,1
1856.8309,0,1
1856.9248,0,1
1854.1246,0,1
1843.2178,0,1
1841.1106,0,1
1845.5238,0,1
1839.2509,0,1
1839.4205,0,1
1834.5121,0,1
1836.3154,0,1
1815.7887,0,1
1824.4547,0,1
1818.8785,0,1
1815.9457,0,1
1798.6647,0,1
1800.9379,0,1
1787.8184,0,1
1773.5774,0,1
1767.7217,0,1
1759.5992,0,1
1759.0117,0,1
1757.4379,0,1
1753.5615,0,1
1743.3928,0,1
1748.8505,0,1
1741.7645,0,1
1728.6028,0,1
1722.1566,0,1
1713.1254,0,1
1694.7635,0,1
1683.3727,0,1
1679.2816,0,1
1670.0165,0,1
1663.9164,0,1
1659.705,0,1
1648.2494,0,1
1639.8043,0,1
1636.444,0,1
1630.3246,0,1
1616.0166,0,1
1605.0865,0,1
1590.3477,0,1
1576.9634,0,1
1556.9893,0,1
1545.6006,0,1
1533.951,0,1
1518.6438,0,1
1512.3386,0,1
1508.3998,0,1
1505.6862,0,1
1504.7861,0,1
1501.8596,0,1
1489.4688,0,1
1488.1964,0,1
1487.524,0,1
1487.8065,0,1
1484.3834,0,1
1473.9105,0,1
1458.9293,0,1
1455.0117,0,1
1442.7899,0,1
1432.7386,0,1
1417.943,0,1
1411.3876,0,1
1385.402,0,1
1366.2936,0,1
1351.1132,0,1
1350.9235,0,1
1344.5516,0,1
1342.7944,0,1
1338.8981,0,1
1331.2668,0,1
1324.9102,0,1
1316.6748,0,1
1306.985,0,1
1293.1217,0,1
1285.4945,0,1
1265.7941,0,1
1253.3512,0,1
1241.1237,0,1
1241.9541,0,1
1247.0468,0,1
1252.5413,0,1
1257.008,0,1
1264.1777,0,1
1263.2572,0,1
1254.8158,0,1
1252.6198,0,1
1251.0717,0,1
1253.6023,0,1
1254.6042,0,1
1241.3104,0,1
1235.2167,0,1
1219.7596,0,1
1205.1866,0,1
1191.0244,0,1
1200.4004,0,1
1203.0387,0,1
1203.7172,0,1
1198.1399,0,1
1195.1194,0,1
1190.5444,0,1
1180.5505,0,1
1162.397,0,1
1156.0326,0,1
1145.4893,0,1
1116.6102,0,1
1099.1635,0,1
1097.1049,0,1
1088.6409,0,1
1080.0599,0,1
1073.9525,0,1
1063.358,0,1
1061.6249,0,1
1047.1078,0,1
1042.3088,0,1
1039.2675,0,1
1033.1143,0,1
1019.02795,0,1
1018.39386,0,1
1010.69104,0,1
1010.07385,0,1
999.8875,0,1
998.9963,0,1
992.29504,0,1
983.56464,0,1
973.47797,0,1
983.4797,0,1
986.36224,0,1
977.3195,0,1
964.37463,0,1
951.24445,0,1
933.14154,0,1
908.749,0,1
905.0596,0,1
914.6789,0,1
916.444,0,1
920.65985,0,1
932.6927,0,1
934.4178,0,1
929.29877,0,1
936.02655,0,1
935.55,0,1
934.34766,0,1
937.1406,0,1
940.4957,0,1
933.69434,0,1
938.3366,0,1
929.89594,0,1
923.55176,0,1
927.48334,0,1
939.83136,0,1
937.7889,0,1
949.2412,0,1
947.1207,0,1
938.11786,0,1
928.4598,0,1
924.9889,0,1
908.0737,0,1
901.30585,0,1
896.3237,0,1
885.70135,0,1
881.65784,0,1
889.3515,0,1
889.39886,0,1
890.5973,0,1
891.59863,0,1
890.9609,0,1
885.3947,0,1
887.9477,0,1
881.5507,0,1
874.35565,0,1
867.14984,0,1
849.4723,0,1
835.11096,0,1
817.9831,0,1
812.3715,0,1
799.9938,0,1
793.46356,0,1
794.8708,0,1
792.37085,0,1
776.9793,0,1
765.2673,0,1
764.917,0,1
750.4892,0,1
744.6479,0,1
742.63165,0,1
735.2095,0,1
724.4223,0,1
720.379,0,1
720.7695,0,1
725.5455,0,1
729.7562,0,1
730.5798,0,1
728.0717,0,1
724.4795,0,1
715.54395,0,1
710.5717,0,1
714.7336,0,1
711.7799,0,1
708.6219,0,1
710.37305,0,1
712.7365,0,1
711.94257,0,1
717.3476,0,1
719.3634,0,1
719.09796,0,1
723.60516,0,1
712.547,0,1
714.56903,0,1
712.1129,0,1
712.66925,0,1
709.6823,0,1
717.2573,0,1
711.007,0,1
708.4466,0,1
705.8512,0,1
708.1907,0,1
709.2498,0,1
706.9748,0,1
704.0596,0,1
695.4723,0,1
688.06006,0,1
680.54205,0,1
676.25354,0,1
671.4093,0,1
674.56226,0,1
667.8546,0,1
660.77826,0,1
657.1101,0,1
655.7346,0,1
652.11145,0,1
636.7054,0,1
627.0959,0,1
619.35297,0,1
609.55585,0,1
594.96063,0,1
596.5709,0,1
598.2874,0,1
590.77704,0,1
595.8669,0,1
601.96124,0,1
600.02716,0,1
599.0694,0,1
604.45355,0,1
597.1065,0,1
591.125,0,1
583.6459,0,1
578.2629,0,1
568.0256,0,1
563.31213,0,1
556.85724,0,1
556.4604,0,1
545.8877,0,1
544.88947,0,1
543.1344,0,1
543.4986,0,1
536.35223,0,1
541.0119,0,1
543.3382,0,1
539.7128,0,1
536.00275,0,1
540.17523,0,1
537.99207,0,1
528.6184,0,1
528.07294,0,1
523.3182,0,1
520.4329,0,1
514.72894,0,1
513.7973,0,1
508.00714,0,1
511.94977,0,1
515.23773,0,1
515.30853,0,1
517.17255,0,1
511.93707,0,1
501.78586,0,1
493.8168,0,1
486.7521,0,1
479.88156,0,1
486.6337,0,1
490.79257,0,1
486.18735,0,1
486.6263,0,1
483.13608,0,1
473.47568,0,1
466.421,0,1
464.24667,0,1
458.6446,0,1
456.91318,0,1
452.1294,0,1
454.87085,0,1
446.54172,0,1
445.93433,0,1
442.97726,0,1
445.23276,0,1
438.6652,0,1
449.69052,0,1
448.2337,0,1
456.5803,0,1
458.7469,0,1
458.78204,0,1
448.69278,0,1
449.97662,0,1
435.7552,0,1
431.05127,0,1
425.9397,0,1
425.10156,0,1
422.75266,0,1
427.86496,0,1
431.95798,0,1
434.99863,0,1
438.48752,0,1
439.32877,0,1
443.15012,0,1
442.29868,0,1
451.4379,0,1
447.21954,0,1
448.81516,0,1
445.6184,0,1
437.35,0,1
429.71368,0,1
433.3116,0,1
434.34433,0,1
439.4917,0,1
445.0393,0,1
444.2819,0,1
440.8518,0,1
436.902,0,1
429.8589,0,1
424.02042,0,1
417.53732,0,1
411.48752,0,1
408.52167,0,1
401.62823,0,1
399.5877,0,1
396.3848,0,1
403.0024,0,1
401.44812,0,1
398.92825,0,1
393.337,0,1
392.22723,0,1
391.48755,0,1
394.01633,0,1
389.29376,0,1
388.50192,0,1
386.5937,0,1
382.0199,0,1
377.17703,0,1
381.09637,0,1
386.30914,0,1
389.79065,0,1
387.5953,0,1
387.5002,0,1
392.8663,0,1
387.68445,0,1
387.769,0,1
384.7959,0,1
378.02075,0,1
372.40414,0,1
371.49652,0,1
373.99823,0,1
374.80362,0,1
376.49524,0,1
377.6276,0,1
375.0472,0,1
369.03354,0,1
369.63837,0,1
367.877,0,1
361.13058,0,1
361.42343,0,1
361.2398,0,1
351.62915,0,1
346.65372,0,1
347.74518,0,1
343.34854,0,1
330.0651,0,1
334.12802,0,1
331.84076,0,1
329.62277,0,1
330.4586,0,1
331.63196,0,1
326.97357,0,1
323.54108,0,1
313.9467,0,1
306.3794,0,1
303.27722,0,1
304.0132,0,1
302.5838,0,1
303.84445,0,1
306.89758,0,1
311.54767,0,1
309.8607,0,1
312.98654,0,1
309.99863,0,1
302.65524,0,1
299.36188,0,1
296.02597,0,1
292.68945,0,1
289.181,0,1
286.77545,0,1
281.50662,0,1
278.28574,0,1
278.4676,0,1
282.2041,0,1
286.08118,0,1
289.53476,0,1
289.07687,0,1
287.511,0,1
283.57498,0,1
282.1603,0,1
275.21805,0,1
268.53314,0,1
265.98175,0,1
266.27884,0,1
259.1849,0,1
260.28632,0,1
259.39694,0,1
254.15804,0,1
250.08548,0,1
251.63481,0,1
251.06001,0,1
255.38042,0,1
256.97995,0,1
256.263,0,1
259.50958,0,1
258.94046,0,1
258.47803,0,1
257.64682,0,1
254.97937,0,1
251.46231,0,1
249.23741,0,1
247.27153,0,1
244.05342,0,1
247.41573,0,1
250.70537,0,1
250.6894,0,1
247.3507,0,1
249.10562,0,1
247.38396,0,1
246.95789,0,1
251.0928,0,1
253.10347,0,1
251.59337,0,1
249.22891,0,1
248.13496,0,1
244.55025,0,1
243.75317,0,1
243.25969,0,1
247.79353,0,1
245.28394,0,1
241.6399,0,1
240.43687,0,1
240.5522,0,1
241.30049,0,1
241.56973,0,1
244.98575,0,1
248.78307,0,1
250.02151,0,1
247.55342,0,1
247.69795,0,1
247.47134,0,1
246.49644,0,1
252.2987,0,1
255.75029,0,1
253.96684,0,1
252.92259,0,1
248.50194,0,1
242.4993,0,1
237.93921,0,1
239.96451,0,1
238.30118,0,1
240.64856,0,1
242.5067,0,1
243.74913,0,1
246.51077,0,1
248.90454,0,1
248.08589,0,1
247.45415,0,1
246.5198,0,1
241.496,0,1
244.06596,0,1
242.26537,0,1
239.72017,0,1
237.41687,0,1
238.48404,0,1
233.52783,0,1
238.10962,0,1
242.12138,0,1
249.8092,0,1
251.14053,0,1
255.0834,0,1
257.4703,0,1
257.84473,0,1
254.89696,0,1
255.1512,0,1
255.18282,0,1
250.83179,0,1
247.47807,0,1
247.13223,0,1
246.34831,0,1
242.87578,0,1
244.57047,0,1
247.45177,0,1
246.90562,0,1
245.31021,0,1
251.35362,0,1
251.69087,0,1
249.77428,0,1
250.18384,0,1
247.44029,0,1
244.77115,0,1
243.3333,0,1
243.63513,0,1
241.1416,0,1
248.18228,0,1
245.89322,0,1
246.8621,0,1
244.52959,0,1
239.88896,0,1
236.7845,0,1
240.46228,0,1
243.88004,0,1
249.01138,0,1
253.70299,0,1
255.31505,0,1
252.66113,0,1
247.63882,0,1
245.87195,0,1
248.25777,0,1
242.90788,0,1
241.54256,0,1
242.67363,0,1
241.82857,0,1
242.22392,0,1
245.37495,0,1
251.38347,0,1
248.45564,0,1
248.86299,0,1
243.55823,0,1
244.03279,0,1
239.68379,0,1
242.71431,0,1
238.31168,0,1
240.13452,0,1
238.95158,0,1
234.4401,0,1
232.72964,0,1
233.69087,0,1
236.79802,0,1
238.96324,0,1
245.22176,0,1
245.00748,0,1
248.21313,0,1
247.62027,0,1
244.63672,0,1
235.15103,0,1
232.33951,0,1
230.21068,0,1
229.73828,0,1
233.22122,0,1
237.4489,0,1
240.22607,0,1
239.5692,0,1
237.20262,0,1
236.06143,0,1
240.61539,0,1
240.98808,0,1
240.64029,0,1
243.36177,0,1
242.67174,0,1
239.94315,0,1
239.18303,0,1
240.9851,0,1
240.25874,0,1
237.22285,0,1
234.40373,0,1
231.47855,0,1
231.01448,0,1
230.99034,0,1
235.69014,0,1
239.51085,0,1
242.3131,0,1
241.67232,0,1
243.93546,0,1
242.02246,0,1
241.38017,0,1
241.95633,0,1
242.95706,0,1
241.3477,0,1
237.86319,0,1
242.24223,0,1
244.92,0,1
247.66016,0,1
247.42163,0,1
251.48653,0,1
249.53539,0,1
247.20503,0,1
244.22417,0,1
242.82332,0,1
245.03629,0,1
245.92424,0,1
246.98404,0,1
250.19847,0,1
249.59386,0,1
247.24474,0,1
245.42944,0,1
246.23889,0,1
244.84048,0,1
244.43883,0,1
241.79662,0,1
237.31367,0,1
237.74414,0,1
236.08202,0,1
237.156,0,1
237.71065,0,1
241.97813,0,1
246.21495,0,1
244.97636,0,1
244.9685,0,1
243.89029,0,1
243.77275,0,1
238.25455,0,1
244.4458,0,1
247.37659,0,1
247.21207,0,1
246.22148,0,1
249.44241,0,1
246.70271,0,1
243.79146,0,1
244.26152,0,1
243.0106,0,1
233.44258,0,1
228.36372,0,1
225.9458,0,1
227.61705,0,1
232.42345,0,1
236.34483,0,1
242.31705,0,1
247.60002,0,1
246.24669,0,1
240.9832,0,1
241.39331,0,1
238.86827,0,1
232.20291,0,1
233.9086,0,1
232.01811,0,1
230.70177,0,1
226.39009,0,1
228.77403,0,1
229.59956,0,1
234.82755,0,1
233.57312,0,1
233.96513,0,1
234.42876,0,1
234.77058,0,1
230.63997,0,1
233.02356,0,1
234.93213,0,1
231.70288,0,1
231.45671,0,1
230.16292,0,1
232.99458,0,1
234.58804,0,1
244.05933,0,1
244.70865,0,1
250.58736,0,1
252.29472,0,1
251.56851,0,1
247.65714,0,1
244.87833,0,1
241.06433,0,1
239.61836,0,1
236.09087,0,1
234.17378,0,1
233.49258,0,1
236.5857,0,1
232.05664,0,1
232.64185,0,1
234.71231,0,1
237.71642,0,1
237.2183,0,1
239.30745,0,1
241.45206,0,1
244.2098,0,1
244.08174,0,1
245.44717,0,1
244.68697,0,1
242.3564,0,1
236.3192,0,1
236.47623,0,1
239.97086,0,1
238.37462,0,1
236.95604,0,1
239.27177,0,1
239.30215,0,1
233.06836,0,1
235.53772,0,1
240.1715,0,1
239.29971,0,1
236.05774,0,1
239.4624,0,1
241.50821,0,1
241.96898,0,1
242.61475,0,1
244.33992,0,1
243.22684,0,1
241.80862,0,1
241.77742,0,1
240.66263,0,1
243.13994,0,1
243.34122,0,1
247.08667,0,1
250.79166,0,1
252.00293,0,1
256.34982,0,1
261.94955,0,1
258.54736,0,1
253.24605,0,1
252.57703,0,1
247.8568,0,1
239.00577,0,1
239.61314,0,1
243.35362,0,1
245.50333,0,1
244.5494,0,1
250.34863,0,1
249.76436,0,1
247.64624,0,1
246.72887,0,1
246.42056,0,1
239.4803,0,1
238.19893,0,1
241.0125,0,1
242.00569,0,1
247.03638,0,1
248.3894,0,1
247.597,0,1
241.37337,0,1
239.95523,0,1
243.07613,0,1
239.66919,0,1
242.36946,0,1
254.49817,0,1
259.211,0,1
254.54263,0,1
256.9816,0,1
254.26543,0,1
244.3588,0,1
240.97932,0,1
237.17166,0,1
239.82027,0,1
240.53897,0,1
242.87378,0,1
241.11949,0,1
243.3308,0,1
240.66258,0,1
242.63145,0,1
239.59094,0,1
239.02446,0,1
237.24547,0,1
239.13045,0,1
239.63367,0,1
244.86153,0,1
247.42725,0,1
248.4647,0,1
248.5542,0,1
250.27141,0,1
246.77037,0,1
245.92374,0,1
246.68636,0,1
246.30855,0,1
244.10864,0,1
247.48564,0,1
252.20116,0,1
253.44835,0,1
252.10648,0,1
252.59386,0,1
250.78667,0,1
245.35497,0,1
242.89697,0,1
246.10933,0,1
247.26431,0,1
250.15547,0,1
253.24998,0,1
253.1007,0,1
251.93616,0,1
251.25102,0,1
247.76414,0,1
247.01537,0,1
249.91125,0,1
251.7502,0,1
250.9376,0,1
250.14275,0,1
244.05403,0,1
238.24303,0,1
236.49397,0,1
232.7198,0,1
237.57542,0,1
256.56726,0,1
267.01984,0,1
267.9523,0,1
274.53683,0,1
274.68793,0,1
263.52557,0,1
258.312,0,1
253.2045,0,1
252.02373,0,1
249.54942,0,1
248.06267,0,1
247.6296,0,1
249.46349,0,1
250.98367,0,1
254.58887,0,1
255.57559,0,1
258.85568,0,1
269.3986,0,1
271.75357,0,1
268.31888,0,1
267.34445,0,1
262.55438,0,1
253.17241,0,1
247.75389,0,1
244.81485,0,1
244.17339,0,1
245.23814,0,1
246.28882,0,1
247.33252,0,1
246.673,0,1
246.48413,0,1
244.44815,0,1
247.20909,0,1
243.52727,0,1
248.46558,0,1
245.65416,0,1
244.96227,0,1
241.34756,0,1
247.57637,0,1
243.04756,0,1
245.13858,0,1
244.9019,0,1
248.56021,0,1
243.77237,0,1
243.19067,0,1
237.396,0,1
237.21387,0,1
231.3289,0,1
229.16667,0,1
229.02574,0,1
233.33093,0,1
237.81743,0,1
239.37183,0,1
239.72234,0,1
246.03755,0,1
244.79955,0,1
240.03833,0,1
239.36421,0,1
240.55339,0,1
232.11006,0,1
229.0743,0,1
224.43692,0,1
220.36568,0,1
215.24158,0,1
220.75403,0,1
219.90752,0,1
222.18114,0,1
226.21336,0,1
231.04967,0,1
227.51094,0,1
232.04695,0,1
232.73552,0,1
230.18546,0,1
231.6187,0,1
229.25609,0,1
227.04419,0,1
226.70093,0,1
228.72276,0,1
225.97281,0,1
